,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,Typical_Price,Typical_Price_Return,Volume_Log,Volume_Differencing,Volume_Differencing_10,Volumne_Percent_Change,MA_5,Volumne_MA_200,Close_EMA_50,Momentum_AwesomeOscillatorIndicator,Momentum_KAMA,Momentum_PercentagePVolumneOscillator,Momentum_ROC,Momentum_RSI,Momentum_StochRSIIndicator,Momentum_TSIIndicator,Trend_ADX,Trend_AroonIndicator,Trend_CCI,Trend_DPO,Trend_EMA,Trend_MACD,Trend_MI,Volumne_CMF,Volumne_EOM,Volumne_FI,Volumne_MFI,Volumne_VWAP,Volume_CMF,Volume_EOM,Volume_FI,Volume_MFI,Volume_VWAP,Volatility_ATR,Volatility_BB,Volatility_DonchainChannel,Volatility_UlcerIndex,Mkt-RF,SMB,HML,RF,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,ADS_Index,ADS_Index
2018-11-01,53.07500076293945,54.622501373291016,51.79750061035156,54.52750015258789,54.04988098144531,56652800.0,1.8040542602539062,0.033947325784104976,53.64916737874349,2.574049991763161,17.852451970518704,-17924400.0,4250800.0,-0.24034691567932287,18.076016806780807,0.10313393331247256,-0.10744578987674436,-11.950037249396829,55.3664287192912,13.802178454706398,-11.27608551203345,43.213274911422545,1.0,-30.210435187652067,32.81270862671618,-85.0,-51.92325355885086,3.303999710083005,56.66003256180323,-3.988896470146031,28.32992009389222,-0.08273494956479051,5.6597059647342824,-12852288.848458009,31.516580317316496,56.25913514597249,-0.08273494956479051,5.6597059647342824,-12852288.848458009,31.516580317316496,56.25913514597249,2.9350199078051338,40.70204056856883,45.59179002736649,21.579442481697512,1.29,1.35,-1.14,0.008,2740.37,112.79,1.1396,6344.0,-0.4212,-0.4212
2018-11-02,54.432498931884766,55.5,52.5525016784668,53.72999954223633,53.25935745239258,45296000.0,-0.7905235290527344,-0.014733826117498072,53.92750040690104,0.5174609977309785,17.62872928633382,-11356800.0,-16064800.0,-0.20046317216448262,18.01435566617626,-0.11665856052944323,-0.11632327670772369,-10.658786897098317,55.32953054334199,10.072628575196457,-11.577388164362509,42.01183992804352,0.9357421688516151,-27.911325631007077,33.13903965813657,-80.0,-41.21585115760358,3.1082498550415067,56.38098179803495,-3.7245031774037685,28.298106339309815,-0.06683426948255435,5.3114956181537565,-15068603.019698616,35.436140161855434,55.74083494748507,-0.06683426948255435,5.3114956181537565,-15068603.019698616,35.436140161855434,55.74083494748507,2.9356438284915374,38.20635055766935,41.898399989338195,21.94778728362494,-0.53,0.79,0.67,0.008,2723.06,113.09,1.1378,6349.8,-0.414039,-0.414039
2018-11-05,53.59749984741211,53.83250045776367,51.31999969482422,52.942501068115234,52.4787483215332,37933200.0,-0.780609130859375,-0.0147652221860195,52.698333740234375,-2.305672221697197,17.45133727604373,-7362800.0,1048800.0,-0.16254856941010243,17.893652564847674,-0.25900450408337483,-0.12483731203086845,-9.175051610610062,55.25206801542708,5.978937054952044,-11.58936026731834,40.80540428824015,0.8712168814192095,-26.449918445311482,33.583721030423234,-75.0,-51.4353247163412,1.1932495117187472,56.0535074428045,-3.5377333456705884,28.139700879906542,-0.05858209679401634,-9.604061938218145,-16478482.457682583,35.82375707324351,55.27425455728725,-0.05858209679401634,-9.604061938218145,-16478482.457682583,35.82375707324351,55.27425455728725,2.9144866752139333,35.65962552646407,41.33300142530147,22.335710007461728,0.4,-1.01,1.55,0.008,2738.31,113.22,1.1394,6404.0,-0.392862,-0.392862
2018-11-06,52.86249923706055,53.712501525878906,52.38999938964844,52.76499938964844,52.30281066894531,29901200.0,-0.17593765258789062,-0.003358182863971493,52.955833435058594,0.48743975093921144,17.213409171334842,-8032000.0,-32742400.0,-0.21174063880716631,17.704716830239523,-0.4148963294651902,-0.12337817486239888,-7.861845330631027,55.209983965338374,1.40182288234204,-7.902430839572977,40.52293529699891,0.8561092434738043,-25.366698763270346,34.00616833409557,-70.0,-41.67495010781369,2.3867504119873075,55.740316199646784,-3.3652473339548123,27.908912722978094,-0.06752103482515394,2.100882303064763,-15414580.622491041,35.59386286139036,54.95837293339136,-0.06752103482515394,2.100882303064763,-15414580.622491041,35.59386286139036,54.95837293339136,2.83488744826476,32.12888898329054,39.29210639662952,22.491131178070155,0.58,-0.16,0.03,0.008,2755.45,113.38,1.1412,6448.5,-0.385826,-0.385826
2018-11-07,53.4375,54.352500915527344,52.79499816894531,53.4474983215332,52.979331970214844,48381200.0,0.6765213012695312,0.012851763763819246,53.53166580200195,1.081512823270403,17.694621866476417,18480000.0,-40047600.0,0.6180353965727128,17.591321552547658,-0.05239001562714651,-0.10811993959169308,-7.1787495332605715,55.15079122198584,0.36981456571732146,-7.538278627519379,42.180281590783764,0.9447511423478538,-23.997213725903734,34.23059185445739,-55.0,-27.375272784236643,0.2454996109008789,55.5219525922074,-3.137313964580372,27.648747506408018,-0.017222583425560923,1.6820454208509892,-10801752.246701112,40.641904738407796,54.43408609539918,-0.017222583425560923,1.6820454208509892,-10801752.246701112,40.641904738407796,54.43408609539918,2.7725181521454676,30.88475892041122,33.565377126761156,22.434030140911908,2.11,-0.33,-1.06,0.008,2813.89,113.32,1.1459,6503.12,-0.378788,-0.378788
2018-11-08,52.849998474121094,52.85749816894531,50.95750045776367,51.497501373291016,51.04641342163086,51135200.0,-1.9329185485839844,-0.037166588715563886,51.770833333333336,-3.344643533435532,17.74998366343001,2754000.0,-44036800.0,0.05692293700859019,17.565705218915323,0.000556482156176541,-0.13589224985430637,-7.014801350761864,55.1274534543052,-0.04092555372893962,-6.817150199884203,38.84936118429095,0.7665994121167713,-23.758256526659366,34.659100590295715,-55.0,-53.02216662737942,-4.802748870849612,55.13867152373918,-3.0785361358467185,27.321945330420185,0.01829878998758878,-6.19117872059046,-19269536.21822995,41.75270981946156,53.97797551349891,0.01829878998758878,-6.19117872059046,-19269536.21822995,41.75270981946156,53.97797551349891,2.7583921377266707,30.900103046079195,33.78907363185675,22.34390337300297,-0.28,-0.25,0.26,0.008,2806.83,113.87,1.1416,6406.24,-0.371745,-0.371745
2018-11-09,50.599998474121094,52.33000183105469,50.2599983215332,51.41749954223633,50.96712112426758,41324000.0,-0.07929229736328125,-0.0015545449666940492,51.33583323160807,-0.8437915746051683,17.53695400295147,-9811200.0,-25154400.0,-0.19186783272579355,17.546849704838337,-0.19060157670123412,-0.13256550765292108,-7.141345663631668,55.05985286803532,-1.8617940849844539,3.1392580070572564,38.714285645249085,0.7593750002259024,-23.600302344799182,35.144013841225835,-55.00000000000001,-56.638911851988475,-2.184375762939453,54.78427419216748,-3.0037840099902837,26.90815677922391,0.0016819649138463677,-3.068133700257873,-17749199.02282747,36.665668622107454,53.48398865236876,0.0016819649138463677,-3.068133700257873,-17749199.02282747,36.665668622107454,53.48398865236876,2.7239727063164114,29.22909278148005,34.10788774649009,22.39742782607456,-1.04,-0.86,0.41,0.008,2781.01,113.77,1.1325,6334.89,-0.364695,-0.364695
2018-11-13,48.372501373291016,51.0525016784668,48.310001373291016,49.82749938964844,49.39104080200195,64471200.0,2.421100616455078,0.05026122088544405,49.730000813802086,2.664382101190199,17.981729170422092,2759600.0,-16248000.0,0.0447176867882213,17.793408191541353,0.259864012258618,-0.14761736566475914,-7.506058749030615,54.92921847601666,1.5404696723274853,0.5144002758571229,38.89587236942862,0.7668114239217901,-24.843107095832078,36.55858833136409,-45.0,-76.88051987088059,-6.584875869750974,53.674621074730055,-3.180309056602759,26.43416314774448,-0.03188700356007702,3.147847145742255,-20975192.271218076,37.23012942396264,52.508508452051544,-0.03188700356007702,3.147847145742255,-20975192.271218076,37.23012942396264,52.508508452051544,2.843754220065918,27.999334271441708,34.85100260437392,22.701193608599382,-0.13,-0.11,0.16,0.008,2722.18,113.97,1.1288,6259.34,-0.336201,-0.336201
2018-11-14,51.57500076293945,51.720001220703125,48.20750045776367,49.29750061035156,48.865692138671875,52658000.0,-0.5253486633300781,-0.010693489469145945,49.74166742960612,0.023457163358253652,17.779328731820122,-11813200.0,-21919200.0,-0.18323220290610376,17.80929786519506,0.02853393540858451,-0.15146929525445207,-7.729455510307766,54.65935710080093,1.1116556461177451,6.23316863946379,38.061189771131374,0.7217291216159446,-24.70871052217026,36.9740035107646,-40.0,-72.1108741908526,-1.6664997100830092,53.25775245907496,-3.1453238433430997,26.180859592098837,-0.03291463055976452,1.8843842411172576,-21635524.028265387,37.84300287678282,52.14431279257503,-0.03291463055976452,1.8843842411172576,-21635524.028265387,37.84300287678282,52.14431279257503,2.877191547209595,25.41136598574883,34.05416688933289,22.76324703563508,-0.77,0.03,-0.29,0.008,2701.58,113.7,1.1312,5605.46,-0.328909,-0.328909
2018-11-15,49.23749923706055,51.32500076293945,48.875,50.59749984741211,50.15430450439453,84070800.0,1.2886123657226562,0.026028785321054126,50.26583353678385,1.0482631841840728,18.247169858945828,31412800.0,27418000.0,0.5965437350450074,17.923875046778967,0.6369599013479643,-0.12466107583852559,-7.52948464786305,54.40613133776116,5.196571280927272,-0.30049291150323276,41.38386528507948,0.901191185746212,-23.62148924111116,37.36864793119507,-35.0,-52.642125441973434,0.7552507400512667,53.00439506748802,-2.9783659867691057,25.915701113852123,0.01875372188529198,0.39705995711847053,-9166238.324709654,43.930908097413074,51.66127830078283,0.01875372188529198,0.39705995711847053,-9166238.324709654,43.930908097413074,51.66127830078283,2.8558320079960877,22.116566453550107,32.01979168682467,22.607765123090395,1.18,0.36,-0.41,0.008,2730.2,113.46,1.1324,5579.52,-0.321539,-0.321539
2018-11-16,40.83000183105469,42.665000915527344,40.40250015258789,41.10749816894531,40.74742126464844,196352000.0,-9.406883239746094,-0.20771178747928598,41.391666412353516,-19.42460263852417,19.095419524828955,112281200.0,151056000.0,1.3355552700818834,18.33569698268721,2.7774227808189447,-0.28068970634465584,-8.590594852671906,52.07712012548113,20.53408439547388,-22.008257246260122,29.10813519871195,0.0,-26.998029636704562,38.4799745297695,-95.0,-273.0371218911141,3.384500503540039,51.87135726762681,-3.5706542274874593,25.702424769586994,-0.0014625495941095672,-9.870613395992846,-185758102.2528623,40.96246178725874,49.86732796714014,-0.0014625495941095672,-9.870613395992846,-185758102.2528623,40.96246178725874,49.86732796714014,3.222790392337494,27.150931272753,36.03132746401172,23.047702852298688,0.15,0.02,-0.05,0.008,2736.27,112.76,1.1402,5512.24,-0.314088,-0.314088
2018-11-19,40.4474983215332,40.45500183105469,36.157501220703125,36.17499923706055,35.85812759399414,169782000.0,-4.889293670654297,-0.12782230335528455,37.59583409627279,-9.618631723553728,18.950025819155236,-26570000.0,131848800.0,-0.135318204041721,18.547020841082826,2.2496201388481367,-0.35775535883062026,-9.717998987085679,48.73204636235102,26.694058706691965,-33.65733045558724,24.9633294516359,0.0,-31.44416314405502,39.785218028801424,-100.0,-296.6830284100699,3.6684999465942383,50.3764660266205,-4.387482202930123,25.6324760504696,-0.1149978780478354,-8.16940485891147,-247823952.8624239,38.53042836058587,48.26563101839806,-0.1149978780478354,-8.16940485891147,-247823952.8624239,38.53042836058587,48.26563101839806,3.309150720132729,35.61167210865837,39.731129810941354,23.888715205338762,-1.88,-0.73,2.3,0.008,2690.73,112.54,1.1448,4733.5,-0.290845,-0.290845
2018-11-20,33.51499938964844,38.564998626708984,33.32749938964844,37.27000045776367,36.94353485107422,169203200.0,1.0854072570800781,0.029820409404082593,36.387499491373696,-3.2667953852009823,18.946610917487106,-578800.0,139302000.0,-0.003409077522941173,18.71642919551633,2.2207501929463174,-0.32941691554790953,-11.418749483893897,46.74714148700141,29.96798840259433,-30.634653312315223,27.433672295660642,0.1353616562563482,-33.92484548374045,41.16641693749744,-100.0,-243.31708366483176,3.7807514190673857,49.12823121053889,-4.890096819042149,25.739373924759327,-0.059925712714013576,-7.305128618085085,-206576175.39487162,37.129669128313274,46.729883451669515,-0.059925712714013576,-7.305128618085085,-206576175.39487162,37.129669128313274,46.729883451669515,3.40556814597912,41.39345753974104,45.10112184500129,24.349480603406874,-1.85,0.14,-0.53,0.008,2641.89,112.66,1.1391,4349.23,-0.282294,-0.282294
2018-11-21,38.654998779296875,38.82500076293945,35.90250015258789,36.1775016784668,35.8606071472168,102549600.0,-1.0829277038574219,-0.029751262807099277,36.96833419799805,1.5836418630286175,18.44585714193873,-66653600.0,54168400.0,-0.3939263560027233,18.788039056936803,0.9478857332151618,-0.34003829038416156,-12.969926071166995,44.60245366802415,26.931427086109167,-31.66642876973034,26.496408740814033,0.08904475523819462,-36.17297429322761,42.414492663893355,-65.0,-178.5319790554229,4.286999702453613,47.894828397960595,-5.3153064998824675,25.81821589821866,-0.05890906997708226,4.039653837349218,-197572283.72082508,42.67710409450062,45.835329057049634,-0.05890906997708226,4.039653837349218,-197572283.72082508,42.67710409450062,45.835329057049634,3.3814147691977423,47.984751598535944,45.73724318952932,24.51950413317945,0.51,0.98,-0.34,0.008,2649.93,113.06,1.1393,4545.11,-0.273275,-0.273275
2018-11-23,35.82749938964844,37.397499084472656,35.6974983215332,36.25,35.93247604370117,41196800.0,0.071868896484375,0.0020021126631428743,36.44833246866862,-1.416600477482577,17.53387114140038,-61352800.0,-9938400.0,-0.5982743959995944,18.726816887748534,-0.21200604338848117,-0.32981257516838824,-14.739396970412308,43.052485352677095,19.507099555882924,-31.299155843235717,26.67543591149908,0.09944306321036901,-37.85955320415898,43.610854624792466,-65.0,-148.95303195104398,5.75499858856201,46.78579712196434,-5.5820913523856746,25.7884963331777,-0.11706114562493847,-3.368292211637625,-178471428.23764753,44.71206127753598,45.27252472963195,-0.11706114562493847,-3.368292211637625,-178471428.23764753,44.71206127753598,45.27252472963195,3.297344068884828,53.09292540924837,46.49053988466677,24.853578101867935,-0.55,0.83,-0.59,0.008,2632.56,112.83,1.1332,4283.8,-0.253816,-0.253816
2018-11-26,37.47249984741211,38.36750030517578,36.63999938964844,38.26250076293945,37.92736053466797,81483200.0,1.9948844909667969,0.05403125373719231,37.756666819254555,3.5266355636710767,18.215907421993034,40286400.0,40159200.0,0.9779011962094144,18.541507675586704,0.5714960784149605,-0.2843932373761271,-14.695360374450686,42.43893419769637,16.65758188810701,-28.411053904230986,31.651993422826564,0.3884929177436694,-37.73197675924692,44.49389393013341,-65.0,-111.08700790831526,4.370501518249512,45.974054611581025,-5.566955875652162,25.61871528949931,-0.06520701996971008,2.0273194074863627,-145856530.10389557,49.254800247256206,44.69373827373824,-0.06520701996971008,2.0273194074863627,-145856530.10389557,49.254800247256206,44.69373827373824,3.2383518806993754,56.31569558060926,47.04840256870206,24.75200139754961,1.62,-0.66,-0.2,0.008,2673.45,113.58,1.1336,3731.32,-0.221765,-0.221765
2018-11-27,38.0,39.252498626708984,37.63750076293945,38.432498931884766,38.095848083496094,73806000.0,0.168487548828125,0.004432536530676323,38.4408327738444,1.7958183533498318,18.11695058707898,-7677200.0,12094400.0,-0.09421819467080328,18.35505106772154,0.42832366248459897,-0.2731977536107628,-13.84408132889692,42.08433049597029,13.569197815280607,-25.37016766444976,32.07139024662847,0.4128524455167809,-37.50695035398546,45.10345241049984,-65.0,-88.95884406421534,4.689124679565431,45.25581121351472,-5.478095396065854,25.462176708188835,-0.05067368701188118,2.059610997539433,-130770490.58379336,53.87785866789112,44.27956479425255,-0.05067368701188118,2.059610997539433,-130770490.58379336,53.87785866789112,44.27956479425255,3.1571841798528832,59.0694917630148,47.449757616253265,24.37314950013235,0.11,-1.09,0.26,0.008,2682.17,113.84,1.1281,3775.0,-0.211344,-0.211344
2018-11-28,39.619998931884766,40.06999969482422,38.282501220703125,40.01750183105469,39.666969299316406,80452400.0,1.5711212158203125,0.040413531800764346,39.45666758219401,2.608279838169425,18.203176263151605,6646400.0,15981200.0,0.09005229927106195,18.144895621312557,0.5542554592729407,-0.23593496151619675,-12.480066377976364,41.85973536060966,11.57792405377124,-22.171435430883292,36.013751635004915,0.6729635558458881,-36.165281400646975,45.47171685524406,-65.0,-69.0653788434334,1.1932483673095717,44.75692460566138,-5.219607946928377,25.338208872730906,-0.051552897979788175,1.6246993538466945,-106171654.60008177,53.33317328529136,43.77021351418701,-0.051552897979788175,1.6246993538466945,-106171654.60008177,53.33317328529136,43.77021351418701,3.088699894566294,60.47618226448543,48.000997217738394,24.224351581799215,2.42,0.45,-1.16,0.008,2743.79,113.96,1.1286,4225.03,-0.201172,-0.201172
2018-11-29,40.0,40.375,39.03499984741211,39.34000015258789,39.034427642822266,54917200.0,-0.6325416564941406,-0.016074817010358178,39.583333333333336,0.3205107745586133,17.821337154315994,-25535200.0,2259200.0,-0.31739513053681434,18.010772580073894,0.06295289821761263,-0.24146690158426143,-11.408213570538692,41.582229842258265,7.504595044292703,-16.97794334475985,35.076649751965164,0.6158946579399401,-35.31216312736299,45.741845782204564,-65.0,-60.44023922244773,4.304124450683595,44.241027038702,-5.011652296491199,24.97722587642022,-0.10009414200152206,1.2901684081554754,-99603544.17880702,52.1256261231944,43.2097163145088,-0.10009414200152206,1.2901684081554754,-99603544.17880702,52.1256261231944,43.2097163145088,3.001264907467374,61.224183742683614,48.705748728162604,24.40422440663549,-0.22,-0.1,-0.1,0.008,2737.76,113.42,1.1382,4248.0,-0.191246,-0.191246
2018-11-30,39.4375,40.96500015258789,38.93000030517578,40.85749816894531,40.540130615234375,72956400.0,1.5057029724121094,0.037848346105580966,40.250832875569664,1.672254196458045,18.105372560407726,18039200.0,-11114400.0,0.3284799662036666,18.102168811140146,0.4116926972606043,-0.20559572202250287,-10.10464714274687,41.50637971263063,5.895122385987753,-18.00210994045313,38.91093454081777,0.8494001188910589,-33.49149874665277,45.841181671651384,-65.0,-47.98531533455641,4.457625770568846,43.91878619396327,-4.670557260838208,24.62772820834583,-0.09109316631256742,0.6764150698637882,-79573569.27791315,52.051695552259226,42.69208144113607,-0.09109316631256742,0.6764150698637882,-79573569.27791315,52.051695552259226,42.69208144113607,2.9529516544646106,59.92000256811271,49.44817685057349,24.61458427419147,0.78,-0.33,-0.43,0.008,2760.17,113.54,1.1323,3976.0,-0.18156,-0.18156
